,links,noticia,titulos,estacoes,categorias
0,https://noticias.uol.com.br/confere/ultimas-noticias/2018/05/24/uol-confere-sabatina-de-marina-silva.htm,0,"Desmatamento, Lava Jato, doações: o que Marina acertou ou não em sabatina",{},{}
1,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000915141&t=e-preciso-se-antecipar-diz-marina-sobre-greve-dos-caminhoneiros,0,"'É preciso se antecipar', diz Marina sobre greve dos caminhoneiros",{},{}
2,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000915139&t=tse-julgara-se-reus-como-lula-e-bolsonaro-podem-disputar-presidencia,0,"TSE julgará se réus, como Lula e Bolsonaro, podem disputar Presidência",{},{}
3,https://www3.uol.com.br/uolmais/2018/05/24/marina-fala-de-lula-critica-petrobras-e-aborda-agenda-lbgt-veja-trechos.htm,"A pré-candidata da Rede à Presidência, Marina Silva, defendeu na sabatina realizada pelo UOL, pela Folha e pelo SBT em São Paulo, que o ex-presidente Luiz Inácio Lula da Silva (PT) não seja apresentado ao eleitor como candidato às eleições de outubro. Durante entrevista, ela também falou sobre a alta nos preços dos combustíveis, agronegócio, reformas do governo Temer, agenda LGBT, entre outros temas. Veja íntegra da sabatina.","Marina fala de Lula, critica Petrobras e aborda agenda LBGT. Veja trechos",{sp},"{pt, rede}"
4,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/24/vou-continuar-atirando-mas-com-silenciador-afirma-bolsonaro.htm,"Wilton Junior/Estadão Conteúdo<p> Para ampliar o eleitorado, o ex-capitão Bolsonaro moldou o discurso e virou apenas Jair nos grupos de redes sociais que defendem sua campanha ao Palácio do Planalto. ""Vou continuar atirando, mas agora com silenciador"", disse o deputado Jair Bolsonaro (PSL-RJ) à reportagem do jornal <p> A estratégia partiu de uma equipe de parlamentares aliados de Bolsonaro que busca ""suavizar"" a imagem do pré-candidato à Presidência nas eleições 2018 e dissociá-lo de discussões envolvendo temas como racismo, homofobia, machismo e tortura.<p> Bolsonaro disse que pretende atender aos apelos da equipe que formula sua candidatura e adotar um estilo mais conciliador, técnico e moderado, levando em conta as primeiras pesquisas de marketing que chegaram ao seu grupo. O deputado, no entanto, deixou clara sua preocupação com a espécie de pacto que fez com seus seguidores mais radicais, na internet e nas esferas militares: ""Tenho pelo menos cem mil marqueteiros pelo Brasil"".<p> O presidenciável sofreu um revés logo no primeiro teste do esforço em demonstrar ""pé no chão"" em assuntos que costumam ter efeitos colaterais no debate eleitoral, como responsabilidade fiscal. Acostumado aos aplausos de seus fiéis seguidores, Bolsonaro foi vaiado quando tentou juntar frases de compromisso com as finanças públicas e declarações divertidas ao responder a perguntas sobre saúde, educação e saneamento básico durante a tarde desta quarta-feira, 23, na Marcha dos Prefeitos.<p> Minutos depois das críticas, ele desabafou a pessoas próximas:<p> Bolsonaro afirmou à reportagem que há mais de um ano busca diálogo com setores diversos da sociedade - empresários, economistas e lideranças sociais. Um aliado do deputado no Congresso relata que, no fim de março, em uma reunião em Brasília para discutir a campanha, houve uma certa ""queda de braço"", entre os apoiadores do pré-candidato na discussão sobre a necessidade de uma mudança gradual nos discursos. Venceu a turma que pediu mais discursos técnicos e moderados, voltados especialmente ao público feminino.<p> A presença de Bolsonaro no encontro com os prefeitos expôs a sua dificuldade em se apresentar para públicos diferentes da tradicional plateia de terminal de aeroporto, que grita ""mito"" toda vez que o pré-candidato brada contra a bandidagem.<p> Bolsonaro usou parte do seu discurso nesta quarta-feira para defender ruralistas e atacar ambientalistas. Os prefeitos, porém, demonstraram indiferença com os temas tradicionais do presidenciável. Em busca de socorro financeiro, os chefes municipais se irritaram quando Bolsonaro puxou da manga uma brincadeira e disse que ""se a pessoa tiver emprego ela não precisa ir para o hospital"".<p> Ali, segundo um interlocutor, Bolsonaro também demonstrou dificuldades em levar ao palanque as ideias do seu principal conselheiro na área econômica. Nas últimas semanas, o economista Paulo Guedes tem discutido com o pré-candidato a questão das restrições orçamentárias em análises que incluem reformas trabalhista, tributária e previdenciária. Guedes é um dos que já seguem à risca o uso apenas do primeiro nome do presidenciável.<p> No caso do principal discurso de Bolsonaro, o endurecimento de medidas de combate à criminalidade, a ideia é dar embasamento técnico a declarações que soaram polêmicas e radicais como a da promessa de dar fuzil a fazendeiro para enfrentar o crime no campo. Agora, o pré-candidato ressaltará a necessidade de armas de cano longo e facilidade no porte de armas em algumas situações.<p> No momento em que ensaia a adoção de uma estratégia adotada pelo tucano Geraldo Alckmin, que na eleição de 2006 tirou o sobrenome da campanha, Bolsonaro só não quer copiar o ex-presidente Luiz Inácio Lula da Silva que deixou de lado a imagem de radical para ultrapassar os 30% do eleitorado.<p> Também se irrita quando o comparam ao ex-presidente Fernando Collor (PTC-AL), por achar que avançará no processo eleitoral sem acusações de corrupção. ""Não me comparem ao Lula nem ao Collor"", reagiu na conversa com a reportagem.","'Vou continuar atirando, mas com silenciador', afirma Bolsonaro","{df, al, rj}","{ptc, psl}"
5,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2018/05/24/tse-julgara-se-reus-como-lula-e-bolsonaro-podem-disputar-presidencia.htm,0,"TSE julgará se réus, como Lula e Bolsonaro, podem disputar Presidência",{},{}
6,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/24/liberar-armas-nao-resolve-o-problema-da-violencia-diz-marina-silva.htm,"Carine Wallauer/UOL<p> A pré-candidata à Presidência Marina Silva (Rede) diz ser terminantemente contra a flexibilização do desarmamento. Na sabatina promovida por UOL, Folha de S. Paulo e SBT nesta quinta-feira (24), a ex-ministra afirmou que não é papel do cidadão ""fazer justiça com as próprias mãos"". ""Liberar [o porte de] armas é insanidade, não resolve o problema da violência"", declarou.<p> De acordo com Marina, o o controle da segurança pública é dever do Estado e um poder como este não deve ser dado ao cidadão.  ""Vamos criar uma guerra civil. Estamos em pleno século 21, pelo amor de Deus, todas as democracias evoluídas estão indo contra"", afirmou a ex-senadora.<p> Marina, que declarou já ter tido uma espingarda em casa quando criança como ""ferramenta"", argumentou ainda que a flexibilização poderia piorar a questão da violência doméstica.<p> A pré-candidata diz que é preciso pensar em um plano nacional de segurança. Entre suas propostas estão a valorização do policial e integração das polícias do país por meio do aperfeiçoamento tecnológico.","""Liberar armas não resolve o problema da violência"", diz Marina Silva",{},{rede}
7,https://www3.uol.com.br/uolmais/2018/05/24/veja-a-integra-da-sabatina-do-uol-folha-e-sbt-com-marina-silva.htm,"A pré-candidata da Rede à Presidência, Marina Silva, defendeu na sabatina realizada pelo UOL, pela Folha e pelo SBT em São Paulo, que o ex-presidente Luiz Inácio Lula da Silva (PT) não seja apresentado ao eleitor como candidato às eleições de outubro. Durante entrevista, ela também falou sobre a alta nos preços dos combustíveis, agronegócio, reformas do governo Temer, agenda LGBT, entre outros temas. Veja íntegra da sabatina.","Veja a íntegra da sabatina do UOL, Folha e SBT com Marina Silva",{sp},"{pt, rede}"
8,http://congressoemfoco.uol.com.br/opiniao/colunistas/corrida-eleitoral-as-noivas-bruce-lee-e-o-samurai/,0,"Corrida eleitoral: as noivas, Bruce Lee e o samurai",{},{}
9,https://www3.uol.com.br/uolmais/2018/05/24/agronegocio-nao-tem-que-ficar-preocupado-comigo-diz-marina.htm,"A pré-candidata da Rede à Presidência, Marina Silva, disse durante sabatina com jornalistas do UOL, Folha de S. Paulo e SBT, nos estúdios do UOL, em São Paulo, que o agronegócio não deve temê-la, e que o agronegócio moderno sabe que é preciso ser sustentável.","Agronego?cio na?o tem que ficar preocupado comigo, diz Marina",{sp},{rede}
